Isotopo,Egama ,IN,Efic       ,sEfic      ,Eres       ,sEres      ,Na         ,Fz         ,Fa         ,D          ,C          ,S          ,W          ,NaCd       ,FZCd       ,FaCd       ,DCd        ,CCd        ,SCd        ,WCd        ,sNa        ,sFz        ,sFa        ,sD         ,sC         ,sS         ,sW         ,sNaCd      ,sFZCd      ,sFaCd      ,sDCd       ,sCCd       ,sSCd       ,sWCd       ,k0         ,sk0        ,FCd        ,sFCd       ,Gepi       ,sGepi      ,Gth        ,sGth       ,Alfa        ,sAlfa      ,FI         ,sFI        ,idouro, irradiacao
W-187  ,479.53,9 ,1.10080E-03,8.58624E-06,2.05000E+01,2.05000E-01,1.17253E+02,1.06065E+00,1.02560E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.00080E+01,1.00480E+00,1.02560E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,1.46402E-01,4.24315E-03,9.23040E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,1.40112E-02,3.61728E-04,9.23040E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,2.97000E-02,2.97000E-05,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
W-187  ,551.53,9 ,9.54250E-04,7.34773E-06,2.05000E+01,2.05000E-01,2.31866E+01,1.06065E+00,1.02160E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.97311E+00,1.00480E+00,1.02160E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,8.45986E-02,4.24315E-03,9.19440E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,8.08974E-03,3.61728E-04,9.19440E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,6.91000E-03,3.45500E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
W-187  ,618.36,9 ,8.51872E-04,6.21867E-06,2.05000E+01,2.05000E-01,2.59506E+01,1.06065E+00,1.01900E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,2.19865E+00,1.00480E+00,1.01900E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,7.78518E-02,4.24315E-03,9.17100E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,7.47541E-03,3.61728E-04,9.17100E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,8.65000E-03,4.32500E-05,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
W-187  ,625.51,9 ,8.42352E-04,5.77237E-06,2.05000E+01,2.05000E-01,4.43454E+00,1.06065E+00,1.01890E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,3.76432E-01,1.00480E+00,1.01890E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,8.26116E-02,4.24315E-03,9.16380E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,7.70945E-03,3.61728E-04,9.16380E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,1.58600E-03,5.26000E-05,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
W-187  ,685.77,9 ,7.70796E-04,5.39557E-06,2.05000E+01,2.05000E-01,1.02138E+02,1.06065E+00,1.01750E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,8.70113E+00,1.00480E+00,1.01750E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,1.27530E-01,4.24315E-03,9.15750E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,1.21816E-02,3.61728E-04,9.15750E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,3.71000E-02,1.85500E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
W-187  ,772.89,9 ,6.88657E-04,4.61400E-06,2.05000E+01,2.05000E-01,1.37619E+01,1.06065E+00,1.01550E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.17622E+00,1.00480E+00,1.01550E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,4.88354E-02,4.24315E-03,9.13950E-04,5.32117E-05,9.92851E-04,8.00005E-05,3.11000E-06,4.58725E-03,3.61728E-04,9.13950E-04,4.89896E-05,4.74984E-04,8.00005E-05,3.31600E-06,5.61000E-03,3.92700E-05,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3     , 2
Ir-192 ,295.96,10,1.83085E-03,1.37314E-05,1.34000E+00,6.70000E-01,2.81597E+02,1.16215E+00,1.00460E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.45657E+01,1.01055E+00,1.00460E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,3.33567E-01,4.29996E-03,9.04140E-04,0.00000E+00,0.00000E+00,1.08645E-06,5.60000E-08,2.19933E-02,3.08238E-03,9.04140E-04,0.00000E+00,0.00000E+00,1.08645E-06,3.60000E-08,1.13700E+00,1.36400E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4     , 2
Ir-192 ,308.46,10,1.75322E-03,1.29738E-05,1.34000E+00,6.70000E-01,2.70627E+02,1.16215E+00,1.00460E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.10285E+01,1.01055E+00,1.00460E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,3.47635E-01,4.29996E-03,9.04140E-04,0.00000E+00,0.00000E+00,1.08645E-06,5.60000E-08,3.60526E-02,3.08238E-03,9.04140E-04,0.00000E+00,0.00000E+00,1.08645E-06,3.60000E-08,1.17600E+00,1.41100E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4     , 2
Ir-192 ,316.51,10,1.70633E-03,1.26268E-05,1.34000E+00,6.70000E-01,7.55099E+02,1.16215E+00,1.00450E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,3.78776E+01,1.01055E+00,1.00450E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,4.84983E-01,4.29996E-03,9.04050E-04,0.00000E+00,0.00000E+00,1.08645E-06,5.60000E-08,3.23841E-02,3.08238E-03,9.04050E-04,0.00000E+00,0.00000E+00,1.08645E-06,3.60000E-08,3.26000E+00,3.91200E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4     , 2
Ir-192 ,468.07,10,1.12768E-03,8.90867E-06,1.34000E+00,6.70000E-01,2.91030E+02,1.16215E+00,1.00390E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.51778E+01,1.01055E+00,1.00390E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,2.74231E-01,4.29996E-03,8.03120E-04,0.00000E+00,0.00000E+00,1.08645E-06,5.60000E-08,1.75298E-02,3.08238E-03,8.03120E-04,0.00000E+00,0.00000E+00,1.08645E-06,3.60000E-08,1.87400E+00,2.24900E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4     , 2
